[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | INFO: Tag[ route_check ] --START--
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | INFO: Tag[ app_begin ] --START--
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.002000s ]
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | SQL: INSERT INTO `hd_category` (`name`,`pid`) VALUES ('php-函数','4') [ RunTime:0.000000s ]
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | INFO: Tag[ view_template ] --START--
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | INFO: Tag[ view_parse ] --START--
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-06T17:01:14+08:00 ] /admin.php/Category/addCate | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
