[ 2018-06-07T00:59:38+08:00 ] /index.php/ | INFO: Tag[ route_check ] --START--
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | INFO: Tag[ app_begin ] --START--
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | SQL: SHOW COLUMNS FROM `hd_ask` [ RunTime:0.004000s ]
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | SQL: SELECT * FROM `hd_ask` WHERE ( `solve` = 0 ) AND ( `reward` = 0 ) LIMIT 15   [ RunTime:0.000000s ]
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | SQL: SELECT * FROM `hd_ask` WHERE ( `solve` = 0 ) AND ( `reward` > 0 ) LIMIT 15   [ RunTime:0.000000s ]
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | INFO: Tag[ view_template ] --START--
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | INFO: Tag[ view_parse ] --START--
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-06-07T00:59:38+08:00 ] /index.php/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
